Column1,DEF,FWD,GK,MID,element_type,now_cost,team,total_points,Arsenal,Aston Villa,Brentford,Brighton,Burnley,Chelsea,Crystal Palace,Everton,Leeds,Leicester,Liverpool,Man City,Man Utd,Newcastle,Norwich,Southampton,Spurs,Watford,West Ham,Wolves,Starting 11
Brandon Williams,1,0,0,0,DEF,39,Norwich,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Bruno André Cavaco Jordão,0,0,0,1,MID,45,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
Bruno Guimarães Rodriguez Moura,0,0,0,1,MID,50,Newcastle,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Bruno Miguel Borges Fernandes,0,0,0,1,MID,116,Man Utd,151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Bryan Gil Salvatierra,0,0,0,1,MID,57,Spurs,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Bryan Mbeumo,0,0,0,1,MID,52,Brentford,119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Bukayo Saka,0,0,0,1,MID,67,Arsenal,179,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Callum Hudson-Odoi,0,0,0,1,MID,53,Chelsea,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Callum Wilson,0,1,0,0,FWD,71,Newcastle,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Calum Chambers,1,0,0,0,DEF,42,Aston Villa,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cameron Archer,0,1,0,0,FWD,45,Aston Villa,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Caoimhin Kelleher,0,0,1,0,GK,43,Liverpool,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Carney Chukwuemeka,0,0,0,1,MID,45,Aston Villa,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Cenk Tosun,0,1,0,0,FWD,50,Everton,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Charlie Cresswell,1,0,0,0,DEF,40,Leeds,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Charlie Goode,1,0,0,0,DEF,39,Brentford,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Charlie Patino,0,0,0,1,MID,45,Arsenal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0
Charlie Savage,0,0,0,1,MID,45,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Charlie Taylor,1,0,0,0,DEF,44,Burnley,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Charlie Whitaker,0,0,0,1,MID,45,Everton,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Che Adams,0,1,0,0,FWD,65,Southampton,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0
Cheikhou Kouyaté,1,0,0,0,DEF,45,Crystal Palace,77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Chem Campbell,0,0,0,1,MID,44,Wolves,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Chris Wood,0,1,0,0,FWD,63,Newcastle,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Christian Benteke,0,1,0,0,FWD,59,Crystal Palace,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Christian Eriksen,0,0,0,1,MID,56,Brentford,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Christian Kabasele,1,0,0,0,DEF,43,Watford,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Christian Marques,1,0,0,0,DEF,40,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0
Christian Nørgaard,0,0,0,1,MID,50,Brentford,101,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Christian Pulisic,0,0,0,1,MID,79,Chelsea,77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Christoph Zimmermann,1,0,0,0,DEF,44,Norwich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Christos Tzolis,0,0,0,1,MID,48,Norwich,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
Ciaran Clark,1,0,0,0,DEF,44,Newcastle,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
Cieran Slicker,0,0,1,0,GK,40,Man City,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Cody Drameh,1,0,0,0,DEF,39,Leeds,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
Cole Palmer,0,0,0,1,MID,45,Man City,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Connor Roberts,1,0,0,0,DEF,44,Burnley,69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Conor Bradley,1,0,0,0,DEF,40,Liverpool,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0
Conor Coady,1,0,0,0,DEF,47,Wolves,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
Conor Coventry,0,0,0,1,MID,45,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Conor Gallagher,0,0,0,1,MID,60,Crystal Palace,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Conor Hourihane,0,0,0,1,MID,49,Aston Villa,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Conrad Egan-Riley,1,0,0,0,DEF,40,Man City,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0
Craig Cathcart,1,0,0,0,DEF,42,Watford,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0
Craig Dawson,1,0,0,0,DEF,49,West Ham,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
Cristian Romero,1,0,0,0,DEF,48,Spurs,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
Cristiano Ronaldo dos Santos Aveiro,0,1,0,0,FWD,122,Man Utd,159,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0
Crysencio Summerville,0,0,0,1,MID,45,Leeds,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0
